Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"18062,1000,0.01,90"
"18072,1000,0.00,100"
"18082,1000,0.01,100"
"18094,1000,-0.04,83"
"18104,1000,-0.00,100"
"18114,1000,-0.03,100"
"18125,1000,-0.00,90"
"18136,1000,0.00,90"
"18146,1000,-0.00,100"
"18156,1000,-0.01,100"
"18167,1000,0.00,90"
"18178,1000,0.04,90"
"18188,1000,0.05,100"
"18199,1000,0.03,90"
"18209,1000,-0.02,100"
"18220,1000,0.01,90"
"18231,1000,0.03,90"
"18241,1000,0.04,100"
"18251,1000,0.02,100"
"18263,1000,0.01,83"
"18273,1000,0.01,100"
"18283,1000,0.01,100"
"18294,1000,-0.01,90"
"18305,1000,-0.01,90"
"18315,1000,0.00,100"
"18325,1000,-0.02,100"
"18336,1000,-0.06,90"
"18347,1000,-0.07,90"
"18357,1000,-0.04,100"
"18368,1000,-0.00,90"
"18378,1000,0.01,100"
"18388,1000,-0.03,100"
"18400,1000,-0.01,83"
"18410,1000,-0.01,100"
"18420,1000,0.02,100"
"18432,1000,-0.00,83"
"18442,1000,-0.00,100"
"18452,1000,-0.02,100"
"18463,1000,-0.00,90"
"18473,1000,-0.00,100"
"18484,1000,0.01,90"
"18494,1000,0.06,100"
"18505,1000,0.05,90"
"18515,1000,0.01,100"
"18526,1000,-0.00,90"
"18537,1000,-0.03,90"
"18547,1000,-0.02,100"
"18557,1000,0.03,100"
"18569,1000,0.03,83"
"18579,1000,-0.01,100"
"18589,1000,0.04,100"
"18600,1000,0.03,90"
"18611,1000,0.04,90"
"18621,1000,-0.00,100"
"18632,1000,-0.03,90"
"18642,1000,0.03,100"
"18653,1000,0.03,90"
"18663,1000,0.01,100"
"18674,1000,-0.00,90"
"18684,1000,0.00,100"
"18695,1000,0.05,90"
"18706,1000,0.03,90"
"18716,1000,-0.00,100"
"18726,1000,-0.01,100"
"18738,1000,-0.01,83"
"18748,1000,-0.04,100"
"18758,1000,-0.05,100"
"18769,1000,-0.07,90"
