Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.43
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"16110,1210,-0.02,90"
"16120,1210,0.02,100"
"16131,1210,0.05,90"
"16142,1210,0.02,90"
"16152,1210,0.01,100"
"16163,1210,0.00,90"
"16174,1210,0.03,90"
"16184,1210,-0.02,100"
"16195,1210,0.02,90"
"16205,1220,0.02,100"
"16217,1220,0.02,83"
"16227,1220,-0.01,100"
"16237,1220,-0.01,100"
"16248,1220,-0.03,90"
"16259,1220,0.03,90"
"16270,1220,0.05,90"
"16280,1220,0.03,100"
"16291,1220,0.05,90"
"16302,1230,0.04,90"
"16312,1230,0.01,100"
"16323,1230,0.01,90"
"16333,1230,0.01,100"
"16344,1230,0.02,90"
"16355,1230,-0.00,90"
"16365,1230,0.05,100"
"16376,1230,0.08,90"
"16387,1230,0.06,90"
"16397,1230,0.02,100"
"16408,1240,-0.02,90"
"16418,1240,0.02,100"
"16430,1240,0.01,83"
"16440,1240,0.02,100"
"16451,1240,-0.00,90"
"16461,1240,-0.00,100"
"16472,1240,0.04,90"
"16483,1240,0.00,90"
"16493,1240,-0.03,100"
"16504,1250,-0.05,90"
"16515,1250,-0.03,90"
"16525,1250,-0.01,100"
"16536,1250,-0.05,90"
"16546,1250,-0.03,100"
"16558,1250,-0.00,83"
"16568,1250,0.03,100"
"16578,1250,0.06,100"
"16589,1250,0.01,90"
"16600,1260,-0.04,90"
"16611,1260,-0.04,90"
"16621,1260,-0.00,100"
"16631,1260,0.01,100"
"16643,1260,0.03,83"
"16653,1260,0.04,100"
"16664,1260,0.04,90"
"16674,1260,0.01,100"
"16686,1260,-0.03,83"
"16696,1260,0.02,100"
"16706,1270,0.07,100"
"16717,1270,0.04,90"
"16728,1270,0.03,90"
"16739,1270,0.07,90"
"16749,1270,0.02,100"
"16759,1270,0.03,100"
"16771,1270,-0.00,83"
"16781,1270,-0.01,100"
"16792,1270,-0.02,90"
"16802,1280,0.02,100"
"16813,1280,-0.02,90"
"16824,1280,-0.01,90"
"16834,1280,-0.03,100"
"16845,1280,-0.03,90"
"16856,1280,0.01,90"
"16866,1280,0.01,100"
"16877,1280,-0.02,90"
"16887,1280,0.02,100"
"16899,1280,0.01,83"
"16909,1290,0.02,100"
"16919,1290,0.02,100"
"16930,1290,-0.03,90"
"16941,1290,-0.02,90"
"16952,1290,-0.04,90"
"16962,1290,-0.06,100"
"16973,1290,-0.02,90"
"16984,1290,0.02,90"
"16994,1290,-0.01,100"
"17005,1300,-0.03,90"
"17015,1300,-0.02,100"
"17027,1300,-0.05,83"
"17037,1300,-0.01,100"
"17047,1300,-0.02,100"
"17058,1300,-0.04,90"
"17069,1300,0.02,90"
"17080,1300,0.06,90"
"17090,1300,-0.01,100"
"17100,1310,-0.02,100"
"17112,1310,-0.04,83"
"17122,1310,-0.01,100"
"17133,1310,0.03,90"
"17143,1310,-0.04,100"
"17154,1310,-0.05,90"
"17165,1310,0.01,90"
"17175,1310,0.05,100"
"17186,1310,0.01,90"
"17197,1310,0.01,90"
"17207,1320,0.02,100"
"17218,1320,-0.00,90"
"17228,1320,-0.04,100"
"17240,1320,-0.03,83"
"17250,1320,0.02,100"
"17261,1320,0.04,90"
"17271,1320,0.10,100"
"17282,1320,0.09,90"
"17293,1320,0.07,90"
"17303,1330,0.04,100"
"17314,1330,0.02,90"
"17325,1330,0.04,90"
"17335,1330,0.03,100"
"17346,1330,0.04,90"
"17356,1330,0.02,100"
"17368,1330,-0.02,83"
"17378,1330,0.01,100"
"17388,1330,0.02,100"
"17399,1330,0.01,90"
"17410,1340,0.02,90"
"17421,1340,-0.02,90"
"17431,1340,-0.02,100"
"17441,1340,-0.01,100"
"17453,1340,-0.03,83"
"17463,1340,-0.07,100"
"17474,1340,-0.05,90"
"17484,1340,-0.06,100"
"17495,1340,-0.02,90"
"17506,1350,-0.04,90"
"17516,1350,-0.00,100"
"17527,1350,0.00,90"
"17538,1350,0.01,90"
"17548,1350,-0.02,100"
"17559,1350,0.00,90"
"17569,1350,0.03,100"
"17581,1350,0.02,83"
"17591,1350,-0.00,100"
"17601,1360,-0.02,100"
"17612,1360,-0.02,90"
"17623,1360,-0.07,90"
"17634,1360,-0.03,90"
"17644,1360,-0.07,100"
"17655,1360,-0.02,90"
"17666,1360,-0.01,90"
"17676,1360,-0.02,100"
"17687,1360,-0.03,90"
"17697,1360,-0.09,100"
"17709,1370,-0.04,83"
"17719,1370,0.00,100"
"17729,1370,0.01,100"
"17740,1370,-0.03,90"
"17751,1370,-0.05,90"
"17762,1370,-0.02,90"
"17772,1370,0.01,100"
"17782,1370,0.01,100"
"17794,1370,-0.04,83"
"17804,1380,-0.04,100"
"17815,1380,-0.05,90"
"17825,1380,-0.07,100"
"17837,1380,-0.12,83"
"17847,1380,-0.04,100"
"17857,1380,-0.06,100"
"17868,1380,-0.07,90"
"17879,1380,-0.09,90"
"17890,1380,-0.03,90"
"17900,1390,-0.06,100"
"17911,1390,0.00,90"
"17922,1390,-0.03,90"
"17932,1390,-0.05,100"
"17943,1390,-0.00,90"
"17953,1390,-0.00,100"
"17965,1390,0.04,83"
"17975,1390,0.01,100"
"17985,1390,0.03,100"
"17996,1390,-0.02,90"
"18007,1400,-0.04,90"
"18018,1400,-0.00,90"
"18028,1400,-0.03,100"
"18038,1400,0.01,100"
"18050,1400,-0.02,83"
"18060,1400,0.01,100"
"18071,1400,-0.01,90"
"18081,1400,0.02,100"
"18092,1400,0.05,90"
"18103,1400,0.06,90"
"18113,1400,-0.02,100"
"18124,1400,0.04,90"
"18135,1400,-0.00,90"
"18145,1400,-0.03,100"
"18156,1400,-0.06,90"
"18166,1400,-0.04,100"
"18178,1400,0.00,83"
"18188,1400,-0.03,100"
"18199,1400,-0.01,90"
"18209,1400,-0.01,100"
"18220,1400,-0.01,90"
"18231,1400,-0.01,90"
"18241,1400,-0.00,100"
"18252,1400,-0.01,90"
"18263,1400,0.00,90"
"18273,1400,0.04,100"
