Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"18575,1080,0.02,90"
"18585,1080,0.03,100"
"18596,1080,0.02,90"
"18607,1070,0.06,90"
"18617,1070,0.07,100"
"18628,1070,0.03,90"
"18638,1070,0.04,100"
"18650,1070,0.01,83"
"18660,1060,0.02,100"
"18671,1060,0.01,90"
"18681,1060,0.03,100"
"18692,1060,0.02,90"
"18703,1050,0.04,90"
"18713,1050,0.01,100"
"18724,1050,-0.03,90"
"18735,1050,0.01,90"
"18745,1050,-0.01,100"
"18756,1040,0.01,90"
"18766,1040,0.03,100"
"18778,1040,0.02,83"
"18788,1040,0.03,100"
"18799,1040,-0.03,90"
"18809,1030,-0.08,100"
"18820,1030,-0.03,90"
"18831,1030,-0.01,90"
"18841,1030,0.03,100"
"18852,1020,0.03,90"
"18863,1020,0.01,90"
"18874,1020,-0.04,90"
"18884,1020,-0.06,100"
"18894,1020,0.02,100"
"18906,1010,-0.01,83"
"18916,1010,0.00,100"
"18927,1010,0.02,90"
"18937,1010,-0.01,100"
"18949,1010,0.01,83"
"18959,1000,0.05,100"
"18969,1000,0.02,100"
"18980,1000,0.01,90"
"18991,1000,0.03,90"
